"package","github_repo","git","eco_guess","language","avg_downloads","2021","2022","2023","2024","2025","top","is_cpp","is_oss_fuzz","pagerank","value_class","license"
"hdrhistogram_c","HdrHistogram/HdrHistogram_c","https://github.com/hdrhistogram/hdrhistogram_c.git","","c/c++","0","0","0","0","0","0","False","True","False","0.00039199","B","cc0-1.0 or bsd-2-clause"
"ada-url","ada-url/ada","https://github.com/ada-url/ada.git","","c/c++","471","0","0","342","249","822","False","True","True","0.00039027","B","apache-2.0 or mit"
"merve","nodejs/merve","https://github.com/nodejs/merve.git","","c/c++","0","0","0","0","0","0","False","True","False","0.00038919","B","apache-2.0"
"nbytes","nodejs/nbytes","https://github.com/nodejs/nbytes.git","","c/c++","0","0","0","0","0","0","False","True","False","0.00038919","B","mit"
"virtualenv","","","","c/c++","169081","0","261843","142882","169937","101662","True","True","False","0.00038883","B","mit"
"libthai","","","","c/c++","0","0","0","0","0","0","False","True","False","0.00038429","B","lgpl-2.1-or-later"
"mbedtls@3","Mbed-TLS/mbedtls","https://github.com/mbed-tls/mbedtls.git","","c/c++","38011","0","0","0","0","38011","True","True","True","0.00037761","B","apache-2.0"
"at-spi2-core","","","","c/c++","137179","0","0","4122","193121","214294","True","True","False","0.00037736","B","lgpl-2.1-or-later"
"protobuf@29","protocolbuffers/protobuf","https://github.com/protocolbuffers/protobuf.git","","c/c++","163550","0","0","0","0","163550","True","True","False","0.00037611","B","bsd-3-clause"
"liblqr","carlobaldassi/liblqr","https://github.com/carlobaldassi/liblqr.git","","c/c++","159556","0","242240","43951","195410","156623","True","True","False","0.00037033","B","lgpl-3.0-only"
"grpc","grpc/grpc","https://github.com/grpc/grpc.git","","c/c++","154288","0","154815","81978","197549","182810","True","True","False","0.00036996","B","apache-2.0"
"simdutf","simdutf/simdutf","https://github.com/simdutf/simdutf.git","","c/c++","8524","0","76","333","1249","32440","False","True","True","0.00036850","B","apache-2.0 or mit"
"libxi","","","","c/c++","105371","0","22169","32884","202952","163480","True","True","False","0.00036773","B","mit"
"ripgrep","BurntSushi/ripgrep","https://github.com/burntsushi/ripgrep.git","","rust","139729","0","98520","32211","167737","260450","True","False","False","0.00036753","B","unlicense"
"libxfixes","","","","c/c++","107069","0","24675","35060","185101","183440","True","True","False","0.00036518","B","mit"
"meson","mesonbuild/meson","https://github.com/mesonbuild/meson.git","","c/c++","157988","0","191904","84483","167883","187683","True","True","False","0.00036332","B","apache-2.0"
"openvino","openvinotoolkit/openvino","https://github.com/openvinotoolkit/openvino.git","","c/c++","152146","0","130","15000","462456","130998","True","True","False","0.00035863","B","apache-2.0"
"colima","abiosoft/colima","https://github.com/abiosoft/colima.git","","go","155147","0","187261","59403","200731","173196","True","False","False","0.00035678","B","mit"
"msgpack","msgpack/msgpack-c","https://github.com/msgpack/msgpack-c.git","","c/c++","142961","0","295706","52210","176247","47681","True","True","True","0.00035673","B","bsl-1.0"
"minikube","kubernetes/minikube","https://github.com/kubernetes/minikube.git","","go","154261","0","318987","78294","115679","104086","True","False","False","0.00035474","B","apache-2.0"
"vde","virtualsquare/vde-2","https://github.com/virtualsquare/vde-2.git","","c/c++","126761","0","375267","41437","55130","35210","True","True","False","0.00034738","B","gpl-2.0-or-later and lgpl-2.1-or-later"
"node@20","","","","python","150922","0","0","0","168427","133418","True","False","False","0.00034707","B","mit"
"jansson","akheron/jansson","https://github.com/akheron/jansson.git","","c/c++","100151","0","260787","30024","48405","61388","True","True","True","0.00034570","B","mit"
"md4c","mity/md4c","https://github.com/mity/md4c.git","","c/c++","80766","0","94874","19592","123981","84619","True","True","True","0.00034173","B","mit"
"qtsvg","","","","c/c++","22546","0","0","0","0","22546","True","True","False","0.00033857","B","(lgpl-3.0-only or gpl-2.0-only or gpl-3.0-only) and bsd-3-clause"
"cmocka","","","","c/c++","145621","0","541167","22712","11246","7362","True","True","False","0.00033488","B","apache-2.0"
"k9s","derailed/k9s","https://github.com/derailed/k9s.git","","go","142826","0","175280","33008","129799","233217","True","False","False","0.00032845","B","apache-2.0"
"libdatrie","tlwg/libdatrie","https://github.com/tlwg/libdatrie.git","","c/c++","27","0","0","0","14","41","False","True","False","0.00032675","B","lgpl-2.1-or-later"
"sdl2-compat","libsdl-org/sdl2-compat","https://github.com/libsdl-org/sdl2-compat.git","","c/c++","2","0","0","0","0","2","False","True","False","0.00032660","B","zlib"
"pipenv","pypa/pipenv","https://github.com/pypa/pipenv.git","","c/c++","141668","0","276267","99514","113260","77631","True","True","False","0.00032579","B","mit"
"re2","google/re2","https://github.com/google/re2.git","","c/c++","107577","0","124624","55999","135871","113814","True","True","True","0.00032540","B","bsd-3-clause"
"pre-commit","","","","c/c++","140510","0","200748","81647","153162","126485","True","True","False","0.00032312","B","mit"
"fastlane","fastlane/fastlane","https://github.com/fastlane/fastlane.git","","c/c++","140104","0","199183","59439","155055","146742","True","True","False","0.00032219","B","mit"
"gdal","OSGeo/gdal","https://github.com/osgeo/gdal.git","","c/c++","136224","0","205200","67485","141190","131023","True","True","True","0.00032061","B","mit"
"bat","sharkdp/bat","https://github.com/sharkdp/bat.git","","rust","139136","0","167750","41619","143237","203941","True","False","False","0.00031996","B","apache-2.0 or mit"
"ollama","ollama/ollama","https://github.com/ollama/ollama.git","","go","138181","0","0","1024","115864","297657","True","False","False","0.00031777","B","mit"
"tcl-tk@8","","","","c/c++","73084","0","0","0","40197","105971","True","True","False","0.00031487","B","tcl"
"sphinx-doc","","","","c/c++","136251","0","240845","76753","122305","105102","True","True","False","0.00031333","B","bsd-2-clause"
"shellcheck","koalaman/shellcheck","https://github.com/koalaman/shellcheck.git","","haskell","96304","0","70454","22701","125533","166529","True","False","False","0.00031242","B","gpl-3.0-or-later"
"gnu-sed","","","","c/c++","135455","0","286724","55661","103086","96352","True","True","False","0.00031150","B","gpl-3.0-or-later"
"proj","OSGeo/PROJ","https://github.com/osgeo/proj.git","","c/c++","102834","0","152571","41907","92246","124612","True","True","True","0.00031109","B","mit"
"libice","","","","c/c++","56048","0","40116","26162","76341","81573","True","True","False","0.00030946","B","mit"
"pygments","","","","c/c++","133370","0","266966","183330","65393","17793","True","True","False","0.00030670","B","bsd-2-clause"
"asdf","asdf-vm/asdf","https://github.com/asdf-vm/asdf.git","","go","132196","0","199063","61579","114549","153596","True","False","False","0.00030400","B","mit"
"httpd","","","","c/c++","131089","0","264221","72597","104414","83124","True","True","False","0.00030146","B","apache-2.0"
"starship","starship/starship","https://github.com/starship/starship.git","","rust","129250","0","194012","54618","128547","139825","True","False","False","0.00029723","B","isc"
"kustomize","kubernetes-sigs/kustomize","https://github.com/kubernetes-sigs/kustomize.git","","go","128778","0","74266","87897","175275","177677","True","False","False","0.00029614","B","apache-2.0"
"libnsl","thkukuk/libnsl","https://github.com/thkukuk/libnsl.git","","c/c++","125032","0","0","89970","218988","66138","True","True","False","0.00029609","B","lgpl-2.1-or-later"
"the_silver_searcher","ggreer/the_silver_searcher","https://github.com/ggreer/the_silver_searcher.git","","c/c++","128060","0","38290","98211","239271","136469","True","True","False","0.00029449","B","apache-2.0"
"netcdf","Unidata/netcdf-c","https://github.com/unidata/netcdf-c.git","","c/c++","121654","0","242360","61450","85540","97266","True","True","True","0.00029339","B","bsd-3-clause"
"eigen","","https://gitlab.com/libeigen/eigen.git","","c/c++","98603","0","142292","40595","94982","116545","True","True","False","0.00029133","B","mpl-2.0 and apache-2.0 and bsd-3-clause and minpack"
"popt","rpm-software-management/popt","https://github.com/rpm-software-management/popt.git","","c/c++","85837","0","211392","24968","49050","57939","True","True","False","0.00028947","B","mit"
"direnv","direnv/direnv","https://github.com/direnv/direnv.git","","go","124627","0","112357","48514","174702","162935","True","False","False","0.00028660","B","mit"
"jupyterlab","","","","node","123888","0","125330","52782","158824","158619","True","False","False","0.00028490","B","bsd-3-clause and mit"
"minizip","","","","c/c++","63344","0","137098","22770","55086","38424","True","True","False","0.00028404","B","zlib"
"argocd","argoproj/argo-cd","https://github.com/argoproj/argo-cd.git","","go","123503","0","102417","59079","151606","180911","True","False","False","0.00028401","B","apache-2.0"
"geos","","","","c/c++","76246","0","151139","31826","63620","58400","True","True","False","0.00028113","B","lgpl-2.1-or-later"
"openssl@4","openssl/openssl","https://github.com/openssl/openssl.git","","c/c++","0","0","0","0","0","0","False","True","True","0.00028106","B","apache-2.0"
"py3cairo","pygobject/pycairo","https://github.com/pygobject/pycairo.git","","c/c++","99421","0","130881","48305","137369","81132","True","True","False","0.00027963","B","lgpl-2.1-only or mpl-1.1"
"flyctl","superfly/flyctl","https://github.com/superfly/flyctl.git","","go","121406","0","94114","71904","150824","168785","True","False","False","0.00027919","B","apache-2.0"
"libplist","libimobiledevice/libplist","https://github.com/libimobiledevice/libplist.git","","c/c++","39268","0","76926","14448","36389","29309","True","True","True","0.00027488","B","lgpl-2.1-or-later"
"suite-sparse","DrTimothyAldenDavis/SuiteSparse","https://github.com/drtimothyaldendavis/suitesparse.git","","c/c++","104057","0","183305","38650","110290","83983","True","True","False","0.00027473","B","bsd-3-clause and lgpl-2.1-or-later and gpl-2.0-or-later and apache-2.0 and gpl-3.0-only and (lgpl-3.0-or-later or gpl-2.0-or-later)"
"tfenv","tfutils/tfenv","https://github.com/tfutils/tfenv.git","","c/c++","119366","0","104557","81669","156627","134614","True","True","False","0.00027450","B","mit"
"make","","","","c/c++","118077","0","152783","75952","135734","107840","True","True","False","0.00027153","B","gpl-3.0-only"
"wxwidgets","wxWidgets/wxWidgets","https://github.com/wxwidgets/wxwidgets.git","","c/c++","117507","0","268103","48628","90696","62603","True","True","True","0.00027022","B","lgpl-2.0-or-later with wxwindows-exception-3.1"
"mlx-c","ml-explore/mlx-c","https://github.com/ml-explore/mlx-c.git","","c/c++","3","0","0","0","0","3","False","True","False","0.00027000","B","mit"
"hiredis","redis/hiredis","https://github.com/redis/hiredis.git","","c/c++","90297","0","101720","50816","99829","108823","True","True","True","0.00026819","B","bsd-3-clause"
"opencv","opencv/opencv","https://github.com/opencv/opencv.git","","c/c++","116403","0","140787","66179","154778","103869","True","True","True","0.00026769","B","apache-2.0"
"pugixml","zeux/pugixml","https://github.com/zeux/pugixml.git","","c/c++","93632","0","134067","14825","166611","59028","True","True","True","0.00026592","B","mit"
"poetry","","","","rust","115372","0","136036","61543","129543","134368","True","False","False","0.00026531","B","mit"
"terminal-notifier","julienXX/terminal-notifier","https://github.com/julienxx/terminal-notifier.git","","c/c++","55071","0","83800","15591","53705","67189","True","True","False","0.00026352","B","mit"
"gradle-completion","gradle/gradle-completion","https://github.com/gradle/gradle-completion.git","","c/c++","2756","0","1811","364","549","8300","False","True","False","0.00026309","B","mit"
"subversion","","","","python","113830","0","173187","58336","117998","105799","True","False","False","0.00026177","B","apache-2.0"
"hunspell","hunspell/hunspell","https://github.com/hunspell/hunspell.git","","c/c++","109510","0","267211","37095","76872","56865","True","True","True","0.00026057","B","mpl-1.1 or gpl-2.0-or-later or lgpl-2.1-or-later"
"libxtst","","","","c/c++","88422","0","4773","21595","176645","150677","True","True","False","0.00026027","B","mit"
"sops","getsops/sops","https://github.com/getsops/sops.git","","go","110962","0","37469","27056","172437","206889","True","False","False","0.00025517","B","mpl-2.0"
"watch","","https://gitlab.com/procps-ng/procps.git","","c/c++","110227","0","243649","50749","67961","78549","True","True","False","0.00025348","B","gpl-2.0-or-later and lgpl-2.1-or-later"
"net-snmp","","","","c/c++","68153","0","12478","31852","73875","154407","True","True","False","0.00025136","B","mit-cmu and mit and bsd-3-clause"
"gstreamer","","https://gitlab.freedesktop.org/gstreamer/gstreamer.git","","rust","108670","0","86007","69218","158851","120606","True","False","False","0.00025112","B","lgpl-2.0-or-later and lgpl-2.1-or-later and mit"
"apache-arrow","","","","c/c++","104424","0","80112","63280","141587","132717","True","True","False","0.00024962","B","apache-2.0"
"hicolor-icon-theme","","","","c/c++","84232","0","95597","34335","114598","92401","True","True","False","0.00024842","B","gpl-2.0-only"
"golangci-lint","golangci/golangci-lint","https://github.com/golangci/golangci-lint.git","","go","106715","0","134319","60776","103703","128062","True","False","False","0.00024541","B","gpl-3.0-only"
"gtk4","","","","c/c++","100659","0","18130","69797","182982","131728","True","True","False","0.00024338","B","lgpl-2.1-or-later"
"xcodegen","yonaskolb/XcodeGen","https://github.com/yonaskolb/xcodegen.git","","c/c++","105646","0","39003","52149","175448","155986","True","True","False","0.00024295","B","mit"
"kubeconform","yannh/kubeconform","https://github.com/yannh/kubeconform.git","","go","105187","0","4102","50257","178897","187492","True","False","False","0.00024189","B","apache-2.0"
"libev","","","","c/c++","35286","0","54019","29059","31966","26102","True","True","False","0.00024175","B","bsd-2-clause or gpl-2.0-or-later"
"fish","fish-shell/fish-shell","https://github.com/fish-shell/fish-shell.git","","rust","104998","0","172252","36674","70532","140537","True","False","False","0.00024146","B","gpl-2.0-only"
"bison","","","","c/c++","104173","0","138248","61077","115375","101994","True","True","False","0.00023956","B","gpl-3.0-or-later"
"libepoxy","anholt/libepoxy","https://github.com/anholt/libepoxy.git","","c/c++","81254","0","133052","35450","79842","76672","True","True","False","0.00023685","B","mit"
"git-gui","","https://mirrors.edge.kernel.org/pub/software/scm/git/git-2.55.0.tar.xz","","c/c++","102727","0","201599","41942","92563","74804","True","True","False","0.00023624","B","gpl-2.0-only"
"mlx","ml-explore/mlx","https://github.com/ml-explore/mlx.git","","c/c++","3114","0","0","0","1475","4753","False","True","False","0.00023610","B","mit and apache-2.0"
"aws-c-io","awslabs/aws-c-io","https://github.com/awslabs/aws-c-io.git","","c/c++","32560","0","0","0","2024","63097","True","True","False","0.00023537","B","apache-2.0"
"libimagequant","ImageOptim/libimagequant","https://github.com/imageoptim/libimagequant.git","","rust","90806","0","170964","34239","82521","75503","True","False","False","0.00023304","B","gpl-3.0-or-later and hpnd"
"pygobject3","","","","c/c++","97625","0","124742","51564","122104","92090","True","True","False","0.00023241","B","lgpl-2.1-or-later"
"aws-sdk-cpp","aws/aws-sdk-cpp","https://github.com/aws/aws-sdk-cpp.git","","c/c++","94341","0","86792","72175","112082","106315","True","True","False","0.00023210","B","apache-2.0"
"scrcpy","Genymobile/scrcpy","https://github.com/genymobile/scrcpy.git","","c/c++","100474","0","130768","51212","113305","106614","True","True","False","0.00023105","B","apache-2.0"
"groonga","groonga/groonga","https://github.com/groonga/groonga.git","","c/c++","90009","0","188778","38922","70847","61489","True","True","False","0.00023052","B","lgpl-2.1-or-later"
"pillow","","","","c/c++","91084","0","120205","38579","106096","99459","True","True","False","0.00022874","B","hpnd"
"libvterm","","","","c/c++","99457","0","225517","52449","88696","31168","True","True","False","0.00022872","B","mit"
"docbook-xsl","docbook/xslt10-stylesheets","https://github.com/docbook/xslt10-stylesheets.git","","c/c++","80145","0","239797","7900","34687","38198","True","True","False","0.00022696","B","mit"
"clang-format","llvm/llvm-project","https://github.com/llvm/llvm-project.git","","c/c++","98106","0","132426","48392","106081","105525","True","True","True","0.00022561","B","apache-2.0 with llvm-exception"
"fd","sharkdp/fd","https://github.com/sharkdp/fd.git","","rust","97972","0","144024","23607","107766","116491","True","False","False","0.00022530","B","apache-2.0 or mit"
"doxygen","","","","c/c++","97634","0","142639","42662","108545","96690","True","True","False","0.00022452","B","gpl-2.0-only"
"utf8cpp","nemtrif/utfcpp","https://github.com/nemtrif/utfcpp.git","","c/c++","60420","0","102201","25366","50773","63340","True","True","False","0.00022424","B","bsl-1.0"
"swig","","","","c/c++","96459","0","154515","33341","90637","107346","True","True","False","0.00022182","B","gpl-3.0-or-later"
"p7zip","p7zip-project/p7zip","https://github.com/p7zip-project/p7zip.git","","c/c++","85932","0","111281","37994","76560","117895","True","True","False","0.00021994","B","lgpl-2.1-or-later and gpl-2.0-or-later"
"vtk","","","","c/c++","91433","0","139854","46618","100555","78705","True","True","False","0.00021901","B","bsd-3-clause"
"graphicsmagick","","","","c/c++","93974","0","122936","57548","119599","75814","True","True","False","0.00021815","B","mit"
"jsoncpp","open-source-parsers/jsoncpp","https://github.com/open-source-parsers/jsoncpp.git","","c/c++","87412","0","74626","55116","158331","61576","True","True","True","0.00021721","B","mit"
"lpeg","","","","lua","51748","0","0","4816","81142","69287","True","False","False","0.00021668","B","mit"
"rsync","","","","c/c++","77761","0","150682","33166","52845","74352","True","True","False","0.00021556","B","gpl-3.0-or-later"
"libmng","","","","c/c++","89572","0","230702","22697","58639","46253","True","True","False","0.00021333","B","zlib"
"berkeley-db","","","","c/c++","92616","0","247159","106274","11615","5419","True","True","False","0.00021298","B","agpl-3.0-only"
"glib-networking","","https://gitlab.gnome.org/gnome/glib-networking.git","","c/c++","80390","0","104923","61917","100784","53938","True","True","False","0.00021058","B","lgpl-2.1-or-later"
"aws-c-cal","awslabs/aws-c-cal","https://github.com/awslabs/aws-c-cal.git","","c/c++","32847","0","0","0","2691","63003","True","True","False","0.00020999","B","apache-2.0"
"ffmpeg@4","","","","c/c++","90920","0","241524","30313","60317","31529","True","True","False","0.00020908","B","gpl-3.0-or-later"
"cfitsio","","","","c/c++","86102","0","158496","29261","86666","69987","True","True","False","0.00020898","B","cfitsio"
"wimlib","","","","c/c++","90303","0","178425","60563","67286","54938","True","True","False","0.00020766","B","gpl-3.0-or-later"
"wxwidgets@3.2","wxWidgets/wxWidgets","https://github.com/wxwidgets/wxwidgets.git","","c/c++","17235","0","0","0","0","17235","True","True","True","0.00020684","B","lgpl-2.0-or-later with wxwindows-exception-3.1"
"postgresql@15","","","","c/c++","89172","0","25506","65593","136257","129335","True","True","False","0.00020506","B","postgresql"
"node@22","","","","python","87927","0","0","0","25411","150443","True","False","False","0.00020220","B","mit"
"cloudflared","cloudflare/cloudflared","https://github.com/cloudflare/cloudflared.git","","go","87278","0","20120","13820","131707","183467","True","False","False","0.00020071","B","apache-2.0"
"node@18","","","","python","86982","0","62655","69763","131089","84421","True","False","False","0.00020003","B","mit"
"fastfetch","fastfetch-cli/fastfetch","https://github.com/fastfetch-cli/fastfetch.git","","c/c++","86420","0","959","2375","107891","234456","True","True","False","0.00019873","B","mit"
"mvfst","facebook/mvfst","https://github.com/facebook/mvfst.git","","c/c++","86003","0","0","1695","192214","64100","True","True","False","0.00019778","B","mit"
"libmagic","","","","c/c++","71507","0","142761","33769","53202","56297","True","True","False","0.00019528","B","bsd-2-clause-darwin and bsd-2-clause and licenseref-homebrew-public-domain"
"swiftformat","nicklockwood/SwiftFormat","https://github.com/nicklockwood/swiftformat.git","","c/c++","84357","0","56906","48236","118114","114174","True","True","False","0.00019399","B","mit"
"mariadb","","","","java","84311","0","147170","43007","84550","62520","True","False","False","0.00019389","B","gpl-2.0-only"
"pyenv-virtualenv","pyenv/pyenv-virtualenv","https://github.com/pyenv/pyenv-virtualenv.git","","c/c++","83753","0","128718","34859","105633","65802","True","True","False","0.00019260","B","mit"
"lazygit","jesseduffield/lazygit","https://github.com/jesseduffield/lazygit.git","","go","83329","0","37708","25912","82848","186850","True","False","False","0.00019163","B","mit"
"ipython","","","","c/c++","83029","0","146220","53539","79397","52962","True","True","False","0.00019094","B","bsd-3-clause"
"fftw","","","","c/c++","78727","0","132896","25024","64916","92073","True","True","False","0.00018873","B","gpl-2.0-or-later and bsd-2-clause"
"pyqt","","","","c/c++","81996","0","71168","33803","119726","103287","True","True","False","0.00018856","B","gpl-3.0-only"
"dtc","","https://git.kernel.org/pub/scm/utils/dtc/dtc.git","","c/c++","57133","0","6144","29366","124374","68648","True","True","False","0.00018726","B","gpl-2.0-or-later or bsd-2-clause"
"age","FiloSottile/age","https://github.com/filosottile/age.git","","go","81122","0","7025","3567","272546","41352","True","False","False","0.00018655","B","bsd-3-clause"
"rabbitmq","rabbitmq/rabbitmq-server","https://github.com/rabbitmq/rabbitmq-server.git","","c/c++","80962","0","153407","46233","72204","52006","True","True","False","0.00018618","B","mpl-2.0"
"hello","","","","c/c++","80754","0","1782","10760","49997","260480","True","True","False","0.00018571","B","gpl-3.0-or-later"
"pyqt@5","","","","c/c++","80376","0","202801","40050","41212","37441","True","True","False","0.00018569","B","gpl-3.0-only"
"llama.cpp","ggml-org/llama","https://github.com/ggml-org/llama.cpp.git","","c/c++","79971","0","0","0","32770","127172","True","True","False","0.00018390","B","mit"
"libsoup","","","","c/c++","74525","0","115016","45045","79207","58834","True","True","False","0.00018159","B","lgpl-2.0-or-later"
"acl","","","","c/c++","78861","0","0","6255","73863","156467","True","True","False","0.00018135","B","gpl-2.0-or-later and lgpl-2.1-or-later"
"httpie","httpie/cli","https://github.com/httpie/cli.git","","c/c++","77298","0","96409","46589","98849","67348","True","True","False","0.00017776","B","bsd-3-clause"
"mecab","","","","c/c++","32762","0","58360","12729","32924","27037","True","True","False","0.00017743","B","gpl-2.0-only or lgpl-2.1-only or bsd-3-clause"
"gawk","","","","c/c++","75556","0","172143","34047","57442","38595","True","True","False","0.00017375","B","gpl-3.0-or-later"
"gpgmepp","","","","c/c++","52080","0","0","0","0","52080","True","True","False","0.00017355","B","lgpl-2.1-or-later"
"alsa-lib","","","","c/c++","75135","0","0","26752","97050","101605","True","True","False","0.00017278","B","lgpl-2.1-or-later and gpl-2.0-or-later"
"blake3","BLAKE3-team/BLAKE3","https://github.com/blake3-team/blake3.git","","c/c++","48358","0","0","161","42216","102698","True","True","False","0.00017175","B","cc0-1.0 or apache-2.0"
"act","nektos/act","https://github.com/nektos/act.git","","go","74271","0","94490","37089","82607","82899","True","False","False","0.00017080","C","mit"
"qtshadertools","","","","c/c++","19469","0","0","0","0","19469","True","True","False","0.00017076","C","(lgpl-3.0-only or gpl-2.0-only or gpl-3.0-only) and (gpl-3.0-only with qt-gpl-exception-1.0) and (apache-2.0 and mit-khronos-old) and (bsd-3-clause and mit-khronos-old and apache-2.0 and aml-glslang and (gpl-3.0-or-later with bison-exception-2.2)) and bsd-3-clause"
"orc","","","","c/c++","69087","0","93020","36111","96135","51082","True","True","False","0.00016986","C","bsd-2-clause and bsd-3-clause"
"gnuplot","","","","c/c++","73549","0","135612","47897","59340","51350","True","True","False","0.00016914","C","gnuplot"
"llvm@19","llvm/llvm-project","https://github.com/llvm/llvm-project.git","","c/c++","68755","0","0","0","0","68755","True","True","True","0.00016883","C","apache-2.0 with llvm-exception"
"openssh","","","","c/c++","72811","0","98739","43258","79967","69283","True","True","False","0.00016744","C","ssh-openssh"
"systemd","systemd/systemd","https://github.com/systemd/systemd.git","","c/c++","72406","0","0","20132","85990","111098","True","True","True","0.00016651","C","lgpl-2.1-or-later and gpl-2.0-or-later and cc0-1.0 and lgpl-2.0-or-later and mit and mit-0 and licenseref-homebrew-public-domain and (lgpl-2.0-or-later with linux-syscall-note) and (gpl-1.0-or-later with linux-syscall-note) and (gpl-2.0-or-later with linux-syscall-note) and (gpl-2.0-only with linux-syscall-note) and (bsd-3-clause or (gpl-2.0-only with linux-syscall-note)) and (mit or (gpl-2.0-only with linux-syscall-note)) and (mit or (gpl-2.0-or-later with linux-syscall-note)) and (gpl-2.0-only or bsd-2-clause)"
"ffmpeg@6","","","","c/c++","72395","0","0","0","105230","39560","True","True","False","0.00016648","C","gpl-3.0-or-later"
"node-build","nodenv/node-build","https://github.com/nodenv/node-build.git","","c/c++","57793","0","113148","27284","53233","37509","True","True","False","0.00016617","C","mit"
"libsm","","","","c/c++","53003","0","33304","24084","69678","84948","True","True","False","0.00016353","C","mit"
"spdlog","gabime/spdlog","https://github.com/gabime/spdlog.git","","c/c++","29248","0","34371","12261","32187","38174","True","True","True","0.00016350","C","mit"
"adwaita-icon-theme","","","","c/c++","69056","0","103004","25711","83577","63932","True","True","False","0.00016291","C","lgpl-3.0-or-later or cc-by-sa-3.0"
"aws-c-http","awslabs/aws-c-http","https://github.com/awslabs/aws-c-http.git","","c/c++","27644","0","0","0","1920","53368","True","True","False","0.00016232","C","apache-2.0"
"aws-sam-cli","","","","go","70489","0","7453","32245","134881","107380","True","False","False","0.00016210","C","apache-2.0"
"wireshark","","","","c/c++","70267","0","108530","33209","64313","75016","True","True","False","0.00016159","C","gpl-2.0-or-later"
"exiftool","","","","c/c++","69726","0","81648","23447","65265","108546","True","True","False","0.00016034","C","artistic-1.0-perl or gpl-1.0-or-later"
"kind","kubernetes-sigs/kind","https://github.com/kubernetes-sigs/kind.git","","go","69528","0","88868","32794","81462","74988","True","False","False","0.00015989","C","apache-2.0"
"erlang@28","erlang/otp","https://github.com/erlang/otp.git","","c/c++","0","0","0","0","0","0","False","True","False","0.00015819","C","apache-2.0"
"portaudio","","","","c/c++","62688","0","77913","26969","67587","78284","True","True","False","0.00015818","C","mit"
"vips","libvips/libvips","https://github.com/libvips/libvips.git","","c/c++","68640","0","107771","35160","73957","57675","True","True","True","0.00015785","C","lgpl-2.1-or-later"
"vulkan-headers","KhronosGroup/Vulkan-Headers","https://github.com/khronosgroup/vulkan-headers.git","","c/c++","37458","0","10267","14865","59221","65481","True","True","False","0.00015658","C","apache-2.0"
"parallel","","","","c/c++","67410","0","84324","27043","77456","80817","True","True","False","0.00015502","C","gpl-3.0-or-later"
"go-task","go-task/task","https://github.com/go-task/task.git","","go","67155","0","1390","8824","140642","117764","True","False","False","0.00015443","C","mit"
"mysql@8.0","mysql/mysql-server","https://github.com/mysql/mysql-server.git","","c/c++","67140","0","0","2587","77608","121227","True","True","True","0.00015440","C","gpl-2.0-only with universal-foss-exception-1.0"
"rpds-py","","","","rust","15764","0","0","0","25","31504","True","False","False","0.00015439","C","mit"
"midnight-commander","","","","c/c++","66679","0","117944","35906","64927","47941","True","True","False","0.00015334","C","gpl-3.0-or-later"
"swiftgen","SwiftGen/SwiftGen","https://github.com/swiftgen/swiftgen.git","","c/c++","66615","0","24209","30269","97090","114892","True","True","False","0.00015319","C","mit"
"jenv","jenv/jenv","https://github.com/jenv/jenv.git","","c/c++","65775","0","136805","25201","52667","48428","True","True","False","0.00015126","C","mit"
"libcap","","","","c/c++","55416","0","0","17039","65750","83460","True","True","False","0.00015090","C","bsd-3-clause and gpl-2.0-or-later"
"xmlto","","https://pagure.io/xmlto/","","c/c++","65496","0","232705","1437","15028","12816","True","True","False","0.00015062","C","gpl-2.0-or-later"
"protobuf-c","protobuf-c/protobuf-c","https://github.com/protobuf-c/protobuf-c.git","","c/c++","57921","0","82950","26579","70314","51842","True","True","True","0.00015012","C","bsd-2-clause"
"php@8.2","","","","c/c++","64720","0","0","0","76168","53273","True","True","False","0.00014883","C","php-3.01 and zend-2.0 and bsl-1.0 and mit and apache-1.0 and bcrypt-solar-designer and bsd-2-clause-darwin and bsd-2-clause and bsd-3-clause and bsd-4-clause-uc and isc and lgpl-2.1-only and lgpl-2.1-or-later and oldap-2.8 and tcl and zlib"
"elfutils","","https://sourceware.org/elfutils/ftp/0.195/elfutils-0.195.tar.bz2","","c/c++","64564","0","0","25227","69981","98485","True","True","False","0.00014847","C","gpl-3.0-or-later and (gpl-2.0-or-later or lgpl-3.0-or-later) and gfdl-1.3-no-invariants-or-later"
"postgresql@16","","","","c/c++","64358","0","0","1749","94481","96846","True","True","False","0.00014800","C","postgresql"
"aws-crt-cpp","awslabs/aws-crt-cpp","https://github.com/awslabs/aws-crt-cpp.git","","c/c++","45263","0","0","0","2932","87594","True","True","False","0.00014741","C","apache-2.0"
"libxt","","","","c/c++","56866","0","24004","29772","85911","87779","True","True","False","0.00014704","C","mit"
"ldns","","","","c/c++","43308","0","84400","23168","39336","26329","True","True","False","0.00014702","C","bsd-3-clause"
"aws-iam-authenticator","kubernetes-sigs/aws-iam-authenticator","https://github.com/kubernetes-sigs/aws-iam-authenticator.git","","go","63771","0","141473","25181","48463","39970","True","False","False","0.00014665","C","apache-2.0"
